place,location,address,lat,long
King's Park,"京士柏 King's Park, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, China 中国","京士柏 King's Park, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, China 中国",22.3105718,114.1742986
Hong Kong Observatory,"香港天文台 Hong Kong Observatory, 134A, 彌敦道 Nathan Road, 官涌 Kwun Chung, 尖沙咀 Tsim Sha Tsui, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, China 中国","香港天文台 Hong Kong Observatory, 134A, 彌敦道 Nathan Road, 官涌 Kwun Chung, 尖沙咀 Tsim Sha Tsui, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, China 中国",22.30184045,114.17375656922096
Wong Chuk Hang,"黃竹坑 Wong Chuk Hang, 香葉道 Heung Yip Road, 黃竹坑 Wong Chuk Hang, 香港島 Hong Kong Island, 南區 Southern District, 香港 Hong Kong, China 中国","黃竹坑 Wong Chuk Hang, 香葉道 Heung Yip Road, 黃竹坑 Wong Chuk Hang, 香港島 Hong Kong Island, 南區 Southern District, 香港 Hong Kong, China 中国",22.2479023,114.16780646453066
Ta Kwu Ling,"打鼓嶺 Ta Kwu Ling, 北區 North District, 新界 New Territories, 香港 Hong Kong, 518026, China 中国","打鼓嶺 Ta Kwu Ling, 北區 North District, 新界 New Territories, 香港 Hong Kong, 518026, China 中国",22.5385085,114.1579921
Lau Fau Shan,"流浮山 Lau Fau Shan, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国","流浮山 Lau Fau Shan, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国",22.4673719,113.984152
Tai Po,"大埔 Tai Po, 大埔區 Tai Po District, 香港 Hong Kong, China 中国","大埔 Tai Po, 大埔區 Tai Po District, 香港 Hong Kong, China 中国",22.4494017,114.1711328
Sha Tin,"沙田 Sha Tin, 沙田區 Sha Tin District, 香港 Hong Kong, China 中国","沙田 Sha Tin, 沙田區 Sha Tin District, 香港 Hong Kong, China 中国",22.3835565,114.1899848
Tuen Mun,"屯門 Tuen Mun, 屯門區 Tuen Mun District, 香港 Hong Kong, China 中国","屯門 Tuen Mun, 屯門區 Tuen Mun District, 香港 Hong Kong, China 中国",22.3912163,113.9762817
Tseung Kwan O,"將軍澳 Tseung Kwan O, 西貢區 Sai Kung District, 香港 Hong Kong, 999077, China 中国","將軍澳 Tseung Kwan O, 西貢區 Sai Kung District, 香港 Hong Kong, 999077, China 中国",22.308785500000006,114.259633
Sai Kung,"西貢 Sai Kung, 西貢區 Sai Kung District, 香港 Hong Kong, China 中国","西貢 Sai Kung, 西貢區 Sai Kung District, 香港 Hong Kong, China 中国",22.3822489,114.2728277
Cheung Chau,"長洲 Cheung Chau, 離島區 Islands District, 新界 New Territories, 香港 Hong Kong, China 中国","長洲 Cheung Chau, 離島區 Islands District, 新界 New Territories, 香港 Hong Kong, China 中国",22.2096137,114.02963705004468
Chek Lap Kok,"赤鱲角 Chek Lap Kok, 離島區 Islands District, 新界 New Territories, 香港 Hong Kong, China 中国","赤鱲角 Chek Lap Kok, 離島區 Islands District, 新界 New Territories, 香港 Hong Kong, China 中国",22.30691315,113.91821356965299
Tsing Yi,"青衣 Tsing Yi, 葵青區 Kwai Tsing District, 新界 New Territories, 香港 Hong Kong, China 中国","青衣 Tsing Yi, 葵青區 Kwai Tsing District, 新界 New Territories, 香港 Hong Kong, China 中国",22.344419,114.09898192840107
Shek Kong,"石崗 Shek Kong, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国","石崗 Shek Kong, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国",22.4312355,114.0931244
Tsuen Wan Ho Koon,"可觀自然教育中心暨天文館 Ho Koon Nature Education Cum Astronomical Centre, 101, 荃錦公路 Route Twisk, 曹公潭 Tso Kung Tam, 光板田村 Kwong Pan Tin Village, 荃灣 Tsuen Wan, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, China 中国","可觀自然教育中心暨天文館 Ho Koon Nature Education Cum Astronomical Centre, 101, 荃錦公路 Route Twisk, 曹公潭 Tso Kung Tam, 光板田村 Kwong Pan Tin Village, 荃灣 Tsuen Wan, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, China 中国",22.38359715,114.107987125
Tsuen Wan Shing Mun Valley,"城門谷 Shing Mun Valley, 荃灣 Tsuen Wan, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, 000000, China 中国","城門谷 Shing Mun Valley, 荃灣 Tsuen Wan, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, 000000, China 中国",22.3757789,114.13119170000002
Hong Kong Park,"香港公園 Hong Kong Park, 19, 中半山 Mid-Levels Central, 中環 Central, 中區 Central District, 香港島 Hong Kong Island, 香港 Hong Kong, China 中国","香港公園 Hong Kong Park, 19, 中半山 Mid-Levels Central, 中環 Central, 中區 Central District, 香港島 Hong Kong Island, 香港 Hong Kong, China 中国",22.277418,114.16150713775022
Shau Kei Wan,"筲箕灣 Shau Kei Wan, 1, 寶文街 Po Man Street, 愛秩序灣 Aldrich Bay, 筲箕灣 Shau Kei Wan, 香港島 Hong Kong Island, 東區 Eastern District, 香港 Hong Kong, China 中国","筲箕灣 Shau Kei Wan, 1, 寶文街 Po Man Street, 愛秩序灣 Aldrich Bay, 筲箕灣 Shau Kei Wan, 香港島 Hong Kong Island, 東區 Eastern District, 香港 Hong Kong, China 中国",22.2790972,114.2286665
Kowloon City,"九龍城 Kowloon City, 九龍 Kowloon, 九龍城區 Kowloon City District, 香港 Hong Kong, China 中国","九龍城 Kowloon City, 九龍 Kowloon, 九龍城區 Kowloon City District, 香港 Hong Kong, China 中国",22.3301595,114.1899368
Happy Valley,"跑馬地 Happy Valley, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, China 中国","跑馬地 Happy Valley, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, China 中国",22.267237,114.1869671
Wong Tai Sin,"黃大仙 Wong Tai Sin, 龍翔道 Lung Cheung Road, 鳳凰 Fung Wong, 黃大仙 Wong Tai Sin, 九龍 Kowloon, 黃大仙區 Wong Tai Sin District, 香港 Hong Kong, China 中国","黃大仙 Wong Tai Sin, 龍翔道 Lung Cheung Road, 鳳凰 Fung Wong, 黃大仙 Wong Tai Sin, 九龍 Kowloon, 黃大仙區 Wong Tai Sin District, 香港 Hong Kong, China 中国",22.34165365,114.19385869532957
Stanley,"赤柱 Stanley, 香港島 Hong Kong Island, 南區 Southern District, 香港 Hong Kong, China 中国","赤柱 Stanley, 香港島 Hong Kong Island, 南區 Southern District, 香港 Hong Kong, China 中国",22.2143908,114.2159129
Kwun Tong,"觀塘 Kwun Tong, 九龍 Kowloon, 觀塘區 Kwun Tong District, 香港 Hong Kong, China 中国","觀塘 Kwun Tong, 九龍 Kowloon, 觀塘區 Kwun Tong District, 香港 Hong Kong, China 中国",22.312937,114.22561
Sham Shui Po,"深水埗 Sham Shui Po, 深水埗區 Sham Shui Po District, 九龍 Kowloon, 香港 Hong Kong, China 中国","深水埗 Sham Shui Po, 深水埗區 Sham Shui Po District, 九龍 Kowloon, 香港 Hong Kong, China 中国",22.32819,114.1608545
Kai Tak Runway Park,"啟德跑道公園 Kai Tak Runway Park, 觀塘商貿區 Kwun Tong Business Area, 觀塘 Kwun Tong, 九龍 Kowloon, 九龍城區 Kowloon City District, 香港 Hong Kong, China 中国","啟德跑道公園 Kai Tak Runway Park, 觀塘商貿區 Kwun Tong Business Area, 觀塘 Kwun Tong, 九龍 Kowloon, 九龍城區 Kowloon City District, 香港 Hong Kong, China 中国",22.30491955,114.21624906863696
Yuen Long Park,"元朗公園 Yuen Long Park, 水邊圍 Shui Pin Wai, 水邊村 Shui Pin Tsuen, 唐人新村 Tong Yan San Tsuen, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国","元朗公園 Yuen Long Park, 水邊圍 Shui Pin Wai, 水邊村 Shui Pin Tsuen, 唐人新村 Tong Yan San Tsuen, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国",22.44184095,114.0188738171998
Tai Mei Tuk,"大美督 Tai Mei Tuk, 大埔區 Tai Po District, 新界 New Territories, 香港 Hong Kong, DD17 266, China 中国","大美督 Tai Mei Tuk, 大埔區 Tai Po District, 新界 New Territories, 香港 Hong Kong, DD17 266, China 中国",22.4741139,114.2346066
